<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2000.01.18;20:00:00;1.01360;1.01540;1.01070;1.01520;495;0;50
2000.01.19;00:00:00;1.01520;1.01560;1.01340;1.01410;694;0;50
2000.01.19;04:00:00;1.01390;1.01650;1.01330;1.01470;1008;0;50
2000.01.19;08:00:00;1.01450;1.01560;1.01030;1.01030;1788;0;50
2000.01.19;12:00:00;1.01020;1.01170;1.00960;1.01090;1402;0;50
2000.01.19;16:00:00;1.01090;1.01280;1.00850;1.01170;1122;0;50
2000.01.19;20:00:00;1.01180;1.01350;1.01150;1.01250;355;0;50
2000.01.20;00:00:00;1.01260;1.01270;1.01080;1.01130;564;0;50
2000.01.20;04:00:00;1.01150;1.01220;1.01050;1.01170;739;0;50
2000.01.20;08:00:00;1.01160;1.01440;1.00820;1.00950;1631;0;50
2000.01.20;12:00:00;1.00940;1.01100;1.00730;1.00950;1543;0;50
2000.01.20;16:00:00;1.00960;1.01880;1.00780;1.01680;1575;0;50
2000.01.20;20:00:00;1.01750;1.01850;1.01540;1.01670;751;0;50
2000.01.21;00:00:00;1.01680;1.01780;1.01520;1.01590;781;0;50
2000.01.21;04:00:00;1.01580;1.01930;1.01550;1.01740;1469;0;50
2000.01.21;08:00:00;1.01750;1.01880;1.01360;1.01450;1931;0;50
2000.01.21;12:00:00;1.01500;1.01530;1.00500;1.00650;1739;0;50
2000.01.21;16:00:00;1.00670;1.01030;1.00610;1.00960;1401;0;50
2000.01.21;20:00:00;1.00950;1.01030;1.00840;1.00870;349;0;50
2000.01.24;00:00:00;1.00280;1.00540;1.00260;1.00450;376;0;50
2000.01.24;04:00:00;1.00480;1.00580;1.00170;1.00270;745;0;50
2000.01.24;08:00:00;1.00280;1.00690;1.00190;1.00500;1626;0;50
2000.01.24;12:00:00;1.00500;1.00610;0.99970;1.00210;1682;0;50
2000.01.24;16:00:00;1.00220;1.00420;1.00070;1.00290;1436;0;50
